status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,_range_flag,age_group,credit_amount_per_duration,credit_per_person
... < 100 DM,6,critical account/other credits existing,domestic appliances,1169,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,67,none,own,2,skilled employee/official,1,yes,yes,1,False,"(60, 100]",194.83333333333334,1169.0
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,5951,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee/official,1,no,yes,0,True,"(18, 30]",123.97916666666667,5951.0
no checking account,12,critical account/other credits existing,retraining,2096,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,49,none,own,1,unskilled - resident,2,no,yes,1,False,"(40, 50]",174.66666666666666,1048.0
... < 100 DM,42,existing credits paid back duly till now,radio/television,7882,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/life insurance,45,none,for free,1,skilled employee/official,2,no,yes,1,False,"(40, 50]",187.66666666666666,3941.0
... < 100 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,53,none,for free,2,skilled employee/official,2,no,yes,0,True,"(50, 60]",202.91666666666666,2435.0
no checking account,36,existing credits paid back duly till now,retraining,9055,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown/no property,35,none,for free,1,unskilled - resident,2,yes,yes,1,False,"(30, 40]",251.52777777777777,4527.5
no checking account,24,existing credits paid back duly till now,radio/television,2835,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,no,yes,1,False,"(50, 60]",118.125,2835.0
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,35,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(30, 40]",193.0,6948.0
no checking account,12,existing credits paid back duly till now,domestic appliances,3059,... >= 1000 DM,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,no,yes,1,False,"(60, 100]",254.91666666666666,3059.0
0 <= ... < 200 DM,30,critical account/other credits existing,car (new),5234,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0,True,"(18, 30]",174.46666666666667,5234.0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee/official,1,no,yes,0,True,"(18, 30]",107.91666666666667,1295.0
... < 100 DM,48,existing credits paid back duly till now,others,4308,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,no,yes,0,True,"(18, 30]",89.75,4308.0
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1567,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee/official,1,yes,yes,1,False,"(18, 30]",130.58333333333334,1567.0
... < 100 DM,24,critical account/other credits existing,car (new),1199,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,60,none,own,2,unskilled - resident,1,no,yes,0,True,"(50, 60]",49.958333333333336,1199.0
... < 100 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",93.53333333333333,1403.0
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,32,none,own,1,unskilled - resident,1,no,yes,0,True,"(30, 40]",53.416666666666664,1282.0
no checking account,24,critical account/other credits existing,domestic appliances,2424,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,53,none,own,2,skilled employee/official,1,no,yes,1,False,"(50, 60]",101.0,2424.0
... < 100 DM,30,no credits taken/all credits paid back duly,others,8072,unknown/no savings account,... < 1 year,2,male : single,none,3,car or other,25,bank,own,3,skilled employee/official,1,no,yes,1,False,"(18, 30]",269.06666666666666,8072.0
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown/no property,44,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,True,"(40, 50]",524.125,12579.0
no checking account,24,existing credits paid back duly till now,domestic appliances,3430,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,2,car or other,31,none,own,1,skilled employee/official,2,yes,yes,1,False,"(30, 40]",142.91666666666666,1715.0
no checking account,9,critical account/other credits existing,car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,48,none,own,3,skilled employee/official,1,yes,yes,1,False,"(40, 50]",237.11111111111111,2134.0
... < 100 DM,6,existing credits paid back duly till now,domestic appliances,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,3,real estate,44,none,rent,1,skilled employee/official,2,no,yes,1,False,"(40, 50]",441.1666666666667,1323.5
... < 100 DM,10,critical account/other credits existing,car (new),2241,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,no,no,1,False,"(40, 50]",224.1,1120.5
0 <= ... < 200 DM,12,critical account/other credits existing,car (used),1804,100 <= ... < 500 DM,... < 1 year,3,male : single,none,4,building society savings agreement/life insurance,44,none,own,1,skilled employee/official,1,no,yes,1,False,"(40, 50]",150.33333333333334,1804.0
no checking account,10,critical account/other credits existing,radio/television,2069,unknown/no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,car or other,26,none,own,2,skilled employee/official,1,no,no,1,False,"(18, 30]",206.9,2069.0
... < 100 DM,6,existing credits paid back duly till now,radio/television,1374,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,1,False,"(30, 40]",229.0,1374.0
no checking account,6,no credits taken/all credits paid back duly,domestic appliances,426,... < 100 DM,... >= 7 years,4,male : married/widowed,none,4,car or other,39,none,own,1,unskilled - resident,1,no,yes,1,False,"(30, 40]",71.0,426.0
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,domestic appliances,409,... >= 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee/official,1,no,yes,1,False,"(40, 50]",34.083333333333336,409.0
